pair,min_centroid,min_footprint,t_centroid,t_footprint,ttc_accel_poly,ttc_cv_poly,ttc_accel_pt,clearance_overstatement,timing_lead
487-527,8.13513380903355,6.873213033344245,135.42448346590623,135.42448346590623,,2.3999999999999995,,1.2619207756893038,0.0
749-797,2.052787064092366,0.7368004066408762,190.5548051428285,190.70488768822847,0.65,0.8500000000000002,,1.3159866574514898,-0.15008254539995391
831-1883,3.3616149771811656,2.0478593186415885,199.70984041222675,199.6598128970934,1.5000000000000007,,,1.313755658539577,0.05002751513336534
823-1534,5.16175794862329,2.3219482581220365,199.5597578668268,199.5597578668268,1.1000000000000003,2.0500000000000007,,2.8398096905012533,0.0
334-1739,2.959640731115487,1.4113318916185165,86.54760118064935,86.79773875631597,,,,1.5483088394969706,-0.25013757566661354
494-534,6.28275313776703,4.991588857167223,140.62734503977188,141.22767522137175,,,,1.2911642805998076,-0.6003301815998725
141-152,3.9421824041339613,2.2821202269745,37.3205262894592,36.37000350192606,,2.25,,1.6600621771594612,0.9505227875331457
1623-1963,8.55328899329173,6.999249886422945,287.6081845014758,287.6081845014758,,,,1.5540391068687853,0.0
250-1367,6.381356207336058,2.825583579950205,62.384311371254185,62.384311371254185,,1.2500000000000004,,3.5557726273858528,0.0
32-44,6.662109111428945,5.0344934520520646,7.8042923607984385,7.354044724598529,,,,1.6276156593768807,0.4502476361999097
582-583,7.0589396056294476,6.4483150792078305,143.9291610385712,143.9291610385712,,,,0.610624526421617,0.0
682-1838,5.120668357695135,3.842117596731681,160.2381309720346,160.2381309720346,,,,1.278550760963454,0.0
566-592,8.883287611843212,6.7891958509503425,146.9308119465706,146.9308119465706,,,,2.0940917608928693,0.0
1101-1113,7.921987793946535,6.331095910087422,259.4426934814148,258.29206063334834,,,,1.590891883859113,1.1506328480664365
456-487,4.852438840085011,2.6339062602953547,134.62404322377307,133.97368552703986,2.3,2.7499999999999982,,2.218532579789656,0.6503576967332094
475-485,9.791094061309712,6.799096272018399,131.22217219470707,130.72189704337384,,,,2.9919977892913128,0.5002751513332271
849-900,0.5154211048441824,0.0,209.81539846915803,209.81539846915803,,,,0.5154211048441824,0.0
812-829,9.892470068322334,7.604239491096692,200.91050077542647,200.81044574515985,1.6000000000000008,,,2.288230577225642,0.100055030266617
564-1791,2.115970047527711,0.9626328410127938,143.17874831157135,142.92861073590475,2.3999999999999995,2.9999999999999973,,1.1533372065149172,0.25013757566659933
37-65,7.937745983919584,7.136020449687628,10.355695632597929,10.105558056931311,,,,0.8017255342319558,0.2501375756666171
584-1799,2.4779843858657493,0.3023769904578337,149.38216018810346,149.63229776377003,1.3000000000000005,,,2.1756073954079156,-0.2501375756665709
257-1367,9.487113573195755,8.519309641615637,62.48436640152084,62.48436640152084,,,,0.9678039315801179,0.0
634-1476,5.145706153275895,4.575991224465611,153.43438891390264,153.43438891390264,,,,0.5697149288102841,0.0
523-1768,2.587756297230541,1.564378281768363,135.9247586172395,135.7746760718395,,,,1.0233780154621779,0.15008254539998234
487-495,6.239372471609577,3.6139269039033763,134.17379558757315,134.17379558757315,0.25,0.35,,2.6254455677062003,0.0
1102-1114,2.191689087935057,0.0,260.8434639051478,260.8434639051478,,,,2.191689087935057,0.0
336-1745,3.639185897173322,2.104719620446703,101.50582820551304,101.50582820551304,1.5000000000000007,,,1.534466276726619,0.0
475-1768,8.697053728389333,7.315570739435245,131.17214467957376,131.07208964930712,1.3500000000000005,2.1000000000000005,,1.3814829889540885,0.10005503026664542
851-858,4.893473903597187,0.54722289963874,203.51193156235928,203.71204162289257,7.299999999999982,,,4.3462510039584465,-0.20011006053329083
1168-1606,9.872704620141727,6.272706110138387,266.8467657211466,266.9968482665466,,,,3.5999985100033403,-0.15008254539998234
531-1768,1.0197457478508658,0.1050627858646358,135.67462104157286,135.9247586172395,,,,0.91468296198623,-0.25013757566662775
837-851,3.4088916051309313,0.0,205.56305968282555,205.4129771374256,0.8000000000000002,1.3500000000000005,,3.4088916051309313,0.15008254539995391
849-873,3.7482284883865846,1.8376965496616628,209.1650407724248,209.46520586322475,2.000000000000001,2.3999999999999995,,1.9105319387249218,-0.3001650907999647
807-837,2.6644414181115086,1.51335796872468,202.76151883535945,203.26179398669268,,,,1.1510834493868285,-0.5002751513332271
1081-1088,3.7638578752878926,2.5097618414825202,254.1397768772825,254.1397768772825,,,,1.2540960338053724,0.0
873-1541,4.454488888574155,1.380342944806074,208.91490319675825,208.91490319675825,,,,3.074145943768081,0.0
