agent_a_id,agent_b_id,agent_a_class,agent_b_class,pair_type,outcome,NM,SDD,PEB_final,PET,TTC_min,TTC_poly_min,Max_CCI,Max_density_raw,ped_id,veh_id,veh_class,pattern
2,5,lcv,pedestrian,ped_veh,agent_a_first,-3.0466,1.6009,0.4643,0.5503,0.979,,0.0036,0.000241,2,5,pedestrian,Unclear Advantage
2,6,lcv,pedestrian,ped_veh,agent_b_first,-0.6599,0.05,1.512,0.8505,0.4823,1.35,0.02849,0.001911,2,6,pedestrian,Chaotic Negotiation
2,7,lcv,lcv,veh_veh,agent_a_first,-1.1969,3.602,0.206,0.8505,0.7241,1.7,0.03907,0.001535,2,7,lcv,Unclear Advantage
2,21,lcv,lcv,veh_veh,agent_a_first,-0.2092,0.05,0.3929,0.3002,0.4476,0.25,0.00013,5e-06,2,21,lcv,Chaotic Negotiation
2,2973,lcv,pedestrian,ped_veh,agent_a_first,1.7511,1.751,2.3413,0.2001,1.2837,,0.00153,0.000103,2,2973,pedestrian,Unclear Advantage
5,21,pedestrian,lcv,ped_veh,unresolved_conflict_zone,2.2114,1.5509,0.2234,0.05,1.2252,,0.00017,1.1e-05,5,21,lcv,Unknown
6,21,pedestrian,lcv,ped_veh,agent_b_first,1.9678,0.4502,0.3306,0.1001,0.8626,,0.01122,0.000753,6,21,lcv,Unclear Advantage
7,21,lcv,lcv,veh_veh,agent_b_first,-0.6204,2.3013,0.6351,0.0,0.7072,0.7,0.16546,0.006502,7,21,lcv,Unclear Advantage
21,2973,lcv,pedestrian,ped_veh,agent_a_first,-7.3204,0.6504,1.1644,0.0,1.4616,,0.00025,1.7e-05,21,2973,pedestrian,Gap-Driven Crossing
24,28,pedestrian,auto_rickshaw,ped_veh,agent_b_first,-2.2694,0.1001,1.3623,0.0,1.345,1.35,0.0,0.0,24,28,auto_rickshaw,Chaotic Negotiation
36,40,lcv,lcv,veh_veh,unresolved_conflict_zone,0.1383,0.0,0.0834,1.5008,0.2919,0.25,0.01217,0.000478,36,40,lcv,Chaotic Negotiation
36,41,lcv,pedestrian,ped_veh,agent_a_first,1.5298,2.9016,8.7522,1.5509,3.0214,1.8,0.0,0.0,36,41,pedestrian,Unclear Advantage
36,45,lcv,pedestrian,ped_veh,agent_a_first,-1.312,0.0,8.0933,0.05,1.7656,1.45,0.0,0.0,36,45,pedestrian,Chaotic Negotiation
36,48,lcv,pedestrian,ped_veh,agent_a_first,4.2236,3.4519,3.8566,1.5509,2.4388,1.75,1e-05,0.0,36,48,pedestrian,Unclear Advantage
36,1398,lcv,car,veh_veh,agent_a_first,0.963,0.9005,5.5793,0.9005,2.5127,2.85,0.0,0.0,36,1398,car,Unclear Advantage
36,1401,lcv,motorcycle,veh_veh,agent_a_first,2.1167,0.2501,0.1258,0.2501,0.3259,1.1,4e-05,2e-06,36,1401,motorcycle,Unclear Advantage
36,2968,lcv,pedestrian,ped_veh,agent_a_first,3.4265,2.2512,9.3088,1.4008,1.6307,1.25,0.00151,0.000102,36,2968,pedestrian,Unclear Advantage
36,3231,lcv,pedestrian,ped_veh,agent_a_first,7.6735,2.3013,5.0941,0.05,2.061,0.45,0.00212,0.000142,36,3231,pedestrian,Proactive Yielding
40,41,lcv,pedestrian,ped_veh,agent_a_first,-0.4896,3.0517,3.8142,1.4508,2.5726,0.9,0.0,0.0,40,41,pedestrian,Unclear Advantage
40,45,lcv,pedestrian,ped_veh,agent_a_first,-5.5442,1.1506,0.5754,0.4002,1.6271,0.95,1e-05,1e-06,40,45,pedestrian,Unclear Advantage
40,48,lcv,pedestrian,ped_veh,agent_a_first,-0.7873,2.8015,4.1958,0.7004,2.2495,,2e-05,1e-06,40,48,pedestrian,Unclear Advantage
40,1398,lcv,car,veh_veh,agent_a_first,2.5651,2.4513,13.9885,0.9505,5.0904,1.75,0.0,0.0,40,1398,car,Unclear Advantage
40,1401,lcv,motorcycle,veh_veh,agent_b_first,-2.5868,0.3502,0.0649,0.0,0.0958,0.05,0.99944,0.062748,40,1401,motorcycle,Unclear Advantage
