agent_a_id,agent_b_id,agent_a_class,agent_b_class,pair_type,outcome,NM,SDD,PEB_final,PET,TTC_min,TTC_poly_min,Max_CCI,Max_density_raw,ped_id,veh_id,veh_class
1,4,lcv,pedestrian,ped_veh,agent_b_first,-2.9572,0.05,0.3067,0.7004,0.7987,,0.00366,0.000245,1,4,pedestrian
1,5,lcv,pedestrian,ped_veh,agent_b_first,1.0735,0.0,1.1297,0.9005,0.4096,0.95,0.03265,0.00219,1,5,pedestrian
1,6,lcv,lcv,veh_veh,agent_a_first,-5.4665,3.602,0.3439,0.9505,0.7807,1.7,0.03857,0.001516,1,6,lcv
1,19,lcv,lcv,veh_veh,agent_a_first,0.0326,0.9505,0.5865,0.3002,0.4247,0.3,0.00012,5e-06,1,19,lcv
1,1657,lcv,pedestrian,ped_veh,agent_a_first,3.0754,1.751,2.441,0.2001,1.0868,,0.00151,0.000101,1,1657,pedestrian
4,19,pedestrian,lcv,ped_veh,unresolved_conflict_zone,0.9934,1.1006,0.5123,0.1501,1.1024,,0.00024,1.6e-05,4,19,lcv
6,19,lcv,lcv,veh_veh,agent_b_first,0.4203,1.3007,0.1189,0.0,0.8572,0.8,0.15911,0.006253,6,19,lcv
19,1657,lcv,pedestrian,ped_veh,agent_a_first,-13.9773,0.7504,0.8821,0.0,1.1993,,0.00022,1.5e-05,19,1657,pedestrian
31,37,lcv,pedestrian,ped_veh,agent_a_first,24.3922,0.7504,4.4711,0.0,2.1621,0.55,0.0,0.0,31,37,pedestrian
31,1652,lcv,pedestrian,ped_veh,agent_a_first,7.8374,0.7004,4.7914,0.0,2.2665,0.5,0.00012,8e-06,31,1652,pedestrian
32,33,motorcycle,car,veh_veh,agent_a_first,2.0999,0.8505,4.143,0.9005,2.4691,2.2,0.0,0.0,32,33,car
32,36,motorcycle,motorcycle,veh_veh,agent_a_first,0.4837,0.0,3.3095,1.5008,0.3364,4.35,0.0,0.0,32,36,motorcycle
32,37,motorcycle,pedestrian,ped_veh,agent_a_first,0.1889,2.9016,16.1504,1.5509,2.8043,1.65,0.0,0.0,32,37,pedestrian
32,41,motorcycle,pedestrian,ped_veh,agent_a_first,-0.3026,0.0,4.7544,0.05,1.7098,1.45,0.0,0.0,32,41,pedestrian
32,44,motorcycle,pedestrian,ped_veh,agent_a_first,0.4826,2.2012,2.9461,1.5509,2.133,1.85,0.0,0.0,32,44,pedestrian
32,1296,motorcycle,motorcycle,veh_veh,agent_a_first,3.3722,0.2501,1.0816,0.2501,0.3515,1.2,0.0,0.0,32,1296,motorcycle
32,1652,motorcycle,pedestrian,ped_veh,agent_a_first,3.3868,3.5019,9.4373,1.4008,1.5128,1.4,0.0,0.0,32,1652,pedestrian
32,1977,motorcycle,pedestrian,ped_veh,agent_a_first,3.2933,1.1506,7.534,0.05,1.916,0.5,0.0,0.0,32,1977,pedestrian
33,36,car,motorcycle,veh_veh,agent_b_first,-7.5199,2.3013,4.9281,0.9505,4.9412,,0.0,0.0,33,36,motorcycle
33,62,car,pedestrian,ped_veh,agent_a_first,3.0978,0.2001,0.5575,0.05,0.4759,,0.00185,0.00018,33,62,pedestrian
33,67,car,pedestrian,ped_veh,unresolved_conflict_zone,-0.3411,0.3002,0.2395,0.0,0.368,0.05,0.96023,0.093155,33,67,pedestrian
33,1654,car,pedestrian,ped_veh,agent_a_first,0.5234,0.05,0.0486,0.4002,0.3537,0.4,0.04185,0.00406,33,1654,pedestrian
33,1661,car,pedestrian,ped_veh,unresolved_conflict_zone,-0.9953,1.7009,0.0797,0.0,0.7824,0.05,0.6376,0.061856,33,1661,pedestrian
33,1674,car,pedestrian,ped_veh,unresolved_conflict_zone,0.094,0.05,0.0381,0.3002,0.4507,0.5,0.03511,0.003406,33,1674,pedestrian
36,37,motorcycle,pedestrian,ped_veh,agent_a_first,2.4929,3.2518,6.3108,1.4508,2.515,1.15,0.0,0.0,36,37,pedestrian
36,41,motorcycle,pedestrian,ped_veh,agent_a_first,-2.2885,1.1506,0.4336,0.4002,1.5654,1.05,0.0,0.0,36,41,pedestrian
36,44,motorcycle,pedestrian,ped_veh,agent_a_first,0.3498,2.9016,3.0953,0.7004,2.0908,,0.0,0.0,36,44,pedestrian
36,1296,motorcycle,motorcycle,veh_veh,unresolved_conflict_zone,-1.548,0.3502,0.1225,0.0,0.0699,0.05,0.99973,0.159111,36,1296,motorcycle
36,1652,motorcycle,pedestrian,ped_veh,agent_a_first,0.978,5.453,13.1638,1.5509,1.6317,0.95,0.0,0.0,36,1652,pedestrian
36,1977,motorcycle,pedestrian,ped_veh,agent_a_first,11.1643,0.0,1.5339,0.4502,2.2081,0.3,0.006,0.001208,36,1977,pedestrian
37,59,pedestrian,cyclist,ped_veh,agent_b_first,-0.8545,1.3007,3.2694,0.6504,2.1766,,0.0,0.0,37,59,cyclist
37,65,pedestrian,motorcycle,ped_veh,agent_b_first,-0.735,2.7515,0.2686,0.3502,1.914,,0.0,0.0,37,65,motorcycle
37,75,pedestrian,lcv,ped_veh,agent_b_first,2.9582,0.1501,1.5501,0.0,0.2148,,0.49086,0.032921,37,75,lcv
41,1296,pedestrian,motorcycle,ped_veh,agent_b_first,-14.3411,0.3502,0.569,0.2001,1.1967,,0.0,0.0,41,1296,motorcycle
44,59,pedestrian,cyclist,ped_veh,agent_b_first,-16.5191,0.9505,4.7538,0.6504,2.1525,,0.0,0.0,44,59,cyclist
44,65,pedestrian,motorcycle,ped_veh,agent_b_first,-0.3953,1.0506,4.1164,0.4002,1.4279,,0.0,0.0,44,65,motorcycle
44,1296,pedestrian,motorcycle,ped_veh,agent_b_first,10.5746,0.2001,6.2214,0.1501,4.6526,1.05,0.0,0.0,44,1296,motorcycle
58,59,pedestrian,cyclist,ped_veh,agent_b_first,8.4912,1.1506,4.6241,0.7504,2.6715,,0.0,0.0,58,59,cyclist
58,65,pedestrian,motorcycle,ped_veh,unresolved_conflict_zone,12.4077,0.0,0.0374,0.5503,2.5748,,0.0,0.0,58,65,motorcycle
59,64,cyclist,pedestrian,ped_veh,agent_a_first,-2.7169,1.2507,1.0216,0.0,2.1898,,0.0,0.0,59,64,pedestrian
59,65,cyclist,motorcycle,cyc_veh,unresolved_conflict_zone,-0.5159,0.1001,0.2364,0.1501,0.188,0.5,0.0186,0.003113,59,65,motorcycle
64,65,pedestrian,motorcycle,ped_veh,agent_b_first,3.208,1.4008,0.105,0.4502,2.1761,2.2,0.00161,0.000325,64,65,motorcycle
75,1299,lcv,pedestrian,ped_veh,agent_a_first,-3.1459,2.1012,5.1056,0.0,1.2627,,0.11836,0.007938,75,1299,pedestrian
75,1677,lcv,pedestrian,ped_veh,agent_b_first,-0.8467,0.05,0.1329,0.1001,0.8648,,0.00519,0.000348,75,1677,pedestrian
93,97,car,pedestrian,ped_veh,agent_a_first,0.3196,1.5509,2.4549,0.0,2.0304,1.25,0.0,0.0,93,97,pedestrian
93,110,car,truck,veh_veh,agent_a_first,-21.4615,1.7009,19.0961,0.0,10.214,0.6,0.09908,0.004134,93,110,truck
93,111,car,truck,veh_veh,unresolved_conflict_zone,-0.4719,0.1501,0.3101,0.05,0.4657,,0.00373,0.000155,93,111,truck
97,99,pedestrian,cyclist,ped_veh,agent_b_first,-1.6405,1.4008,1.2678,0.05,1.0357,,0.0,0.0,97,99,cyclist
97,116,pedestrian,car,ped_veh,agent_b_first,-2.9949,2.9516,5.4004,0.0,2.7474,0.7,0.0,0.0,97,116,car
97,139,pedestrian,truck,ped_veh,agent_a_first,-2.1758,0.1501,1.1134,0.1001,3.0086,,0.00058,3.3e-05,97,139,truck
99,102,cyclist,pedestrian,ped_veh,agent_a_first,-6.5823,0.1001,0.2787,0.0,1.4481,,1e-05,2e-06,99,102,pedestrian
99,1295,cyclist,pedestrian,ped_veh,agent_b_first,-0.6393,0.5503,0.8246,0.0,0.6351,,0.0003,6.5e-05,99,1295,pedestrian
99,1299,cyclist,pedestrian,ped_veh,agent_b_first,1.3269,0.1501,0.6875,0.0,0.4827,0.45,0.17887,0.039104,99,1299,pedestrian
99,1300,cyclist,pedestrian,ped_veh,agent_a_first,11.0033,0.1001,3.9804,0.2501,0.3517,0.65,0.0,0.0,99,1300,pedestrian
110,116,truck,car,veh_veh,agent_b_first,-2.635,2.3513,6.0272,0.0,3.6467,0.3,0.13967,0.005827,110,116,car
110,121,truck,truck,veh_veh,agent_b_first,-1.127,2.3013,4.496,0.0,4.7804,0.85,0.10071,0.003206,110,121,truck
110,1299,truck,pedestrian,ped_veh,agent_b_first,-2.8091,1.751,9.0956,0.0,6.2527,,0.00311,0.000173,110,1299,pedestrian
116,121,car,truck,veh_veh,agent_a_first,-2.5707,0.6504,0.0979,0.0,1.0578,,0.00605,0.000252,116,121,truck
141,142,truck,car,veh_veh,unresolved_conflict_zone,0.1585,0.05,0.5392,0.3502,0.2896,,0.053,0.002211,141,142,car
141,148,truck,pedestrian,ped_veh,agent_a_first,2.9263,0.05,3.0299,0.5003,2.3749,1.25,0.0015,8.4e-05,141,148,pedestrian
141,152,truck,pedestrian,ped_veh,agent_a_first,0.2821,0.6003,2.3211,1.851,0.9707,0.95,0.03369,0.001881,141,152,pedestrian
141,155,truck,pedestrian,ped_veh,agent_a_first,1.3882,1.0006,3.0777,2.5514,1.3672,1.3,0.0,0.0,141,155,pedestrian
141,162,truck,pedestrian,ped_veh,agent_b_first,-0.4279,0.3502,1.2082,0.05,2.8086,1.45,0.00185,0.000103,141,162,pedestrian
141,167,truck,truck,veh_veh,agent_a_first,-0.4196,0.05,2.9826,0.0,1.5339,0.55,0.21047,0.006699,141,167,truck
141,173,truck,pedestrian,ped_veh,agent_a_first,-4.3272,1.2507,2.7508,0.05,1.6931,,0.0014,7.8e-05,141,173,pedestrian
142,144,car,car,veh_veh,agent_b_first,1.7285,2.4013,1.3207,0.0,1.2671,0.6,0.00019,1.2e-05,142,144,car
142,148,car,pedestrian,ped_veh,agent_a_first,5.489,0.1001,56.7557,0.0,3.5977,0.9,0.0,0.0,142,148,pedestrian
142,149,car,cyclist,cyc_veh,unresolved_conflict_zone,-0.5589,0.0,0.0219,0.05,0.2833,0.2,0.11779,0.010569,142,149,cyclist
142,152,car,pedestrian,ped_veh,agent_a_first,0.3808,0.4002,1.8406,0.0,1.0209,0.75,0.05433,0.005271,142,152,pedestrian
144,1691,car,truck,veh_veh,agent_a_first,1.4761,0.3502,0.5598,0.0,0.7402,,0.0,0.0,144,1691,truck
148,167,pedestrian,truck,ped_veh,unresolved_conflict_zone,1.4666,0.0,0.7594,0.0,0.0233,0.35,0.25724,0.014363,148,167,truck
148,1691,pedestrian,truck,ped_veh,agent_b_first,34.6361,0.4002,18.4929,0.0,10.5909,,0.0,0.0,148,1691,truck
