agent_a_id,agent_b_id,agent_a_class,agent_b_class,pair_type,outcome,NM,SDD,PEB_final,PET,TTC_min,TTC_poly_min,Max_CCI,Max_density_raw,ped_id,veh_id,veh_class
2,3,lcv,pedestrian,ped_veh,agent_a_first,-1.3732,1.751,0.6144,0.0,0.9078,1.8,0.00696,0.000467,2,3,pedestrian
2,5,lcv,pedestrian,ped_veh,agent_a_first,-3.7594,1.1006,1.1139,0.5503,1.0052,,0.00312,0.000209,2,5,pedestrian
2,6,lcv,pedestrian,ped_veh,agent_a_first,-3.0243,2.6515,0.4288,0.7004,0.8966,7.7,0.02299,0.001542,2,6,pedestrian
2,7,lcv,lcv,veh_veh,agent_b_first,-8.9555,0.05,0.2417,0.7504,1.28,1.9,0.03653,0.001435,2,7,lcv
2,13,lcv,pedestrian,ped_veh,agent_a_first,-1.0615,0.4502,0.7686,0.4002,1.2181,,0.00203,0.000136,2,13,pedestrian
2,21,lcv,lcv,veh_veh,unresolved_conflict_zone,-1.295,0.1501,0.9252,0.1501,0.542,0.85,0.00017,7e-06,2,21,lcv
4,16,pedestrian,cyclist,ped_veh,agent_a_first,1.6264,1.0006,0.5288,0.3002,0.602,,0.0,0.0,4,16,cyclist
4,21,pedestrian,lcv,ped_veh,agent_b_first,-1.2447,1.5008,0.9884,0.0,0.791,1.55,0.0,0.0,4,21,lcv
5,10,pedestrian,bus,ped_veh,agent_b_first,24.5807,1.901,0.9106,0.0,1.324,,0.0,0.0,5,10,bus
5,21,pedestrian,lcv,ped_veh,agent_b_first,-5.7416,0.9005,1.2992,0.2001,1.7124,,0.00451,0.000303,5,21,lcv
6,16,pedestrian,cyclist,ped_veh,agent_b_first,-10.4045,0.4002,1.0009,0.2001,3.308,,7e-05,1.6e-05,6,16,cyclist
6,21,pedestrian,lcv,ped_veh,agent_b_first,4.1213,3.652,4.9794,0.6003,1.3684,,0.02649,0.001777,6,21,lcv
6,35,pedestrian,lcv,ped_veh,agent_b_first,5.6511,0.7504,2.9262,0.0,3.0822,0.5,0.00014,9e-06,6,35,lcv
6,36,pedestrian,lcv,ped_veh,agent_b_first,-2.1535,3.652,16.4575,1.5008,2.3848,1.9,0.00234,0.000157,6,36,lcv
6,40,pedestrian,lcv,ped_veh,agent_b_first,-0.4973,3.702,11.6926,1.5008,2.8523,1.35,0.00053,3.6e-05,6,40,lcv
6,1401,pedestrian,motorcycle,ped_veh,agent_b_first,2.1506,0.3002,4.8148,0.1001,5.1121,,0.0,0.0,6,1401,motorcycle
7,21,lcv,lcv,veh_veh,agent_b_first,4.1675,0.6003,0.8657,0.0,1.009,1.55,0.13349,0.005246,7,21,lcv
8,1398,pedestrian,car,ped_veh,unresolved_conflict_zone,-1.3359,0.0,0.3952,0.5003,0.6716,0.6,0.00676,0.000656,8,1398,car
13,21,pedestrian,lcv,ped_veh,agent_b_first,-9.5199,0.0,0.7938,0.0,1.402,,0.00014,1e-05,13,21,lcv
21,38,lcv,pedestrian,ped_veh,agent_b_first,-1.8298,0.0,0.6343,0.0,1.4367,,0.0,0.0,21,38,pedestrian
24,28,pedestrian,auto_rickshaw,ped_veh,agent_b_first,-0.4837,0.1001,1.2334,0.0,1.3729,1.6,0.0,0.0,24,28,auto_rickshaw
35,38,lcv,pedestrian,ped_veh,agent_a_first,0.382,1.1006,0.3159,0.05,0.8944,,0.00013,9e-06,35,38,pedestrian
35,41,lcv,pedestrian,ped_veh,agent_a_first,15.3862,1.0506,29.1079,0.0,8.5314,0.6,0.0,0.0,35,41,pedestrian
36,40,lcv,lcv,veh_veh,agent_a_first,0.3654,2.1512,1.5873,1.4508,0.4452,3.65,0.00519,0.000204,36,40,lcv
36,41,lcv,pedestrian,ped_veh,agent_a_first,-0.619,4.4524,15.478,1.7009,3.0813,2.3,0.0,0.0,36,41,pedestrian
36,45,lcv,pedestrian,ped_veh,agent_a_first,-3.4287,1.0506,1.9644,0.05,1.6437,1.3,0.0,0.0,36,45,pedestrian
36,48,lcv,pedestrian,ped_veh,agent_a_first,-1.5297,2.0511,8.6755,1.6009,3.5155,,1e-05,1e-06,36,48,pedestrian
36,1393,lcv,pedestrian,ped_veh,agent_a_first,-2.9624,3.1517,3.3513,0.05,2.5855,1.4,0.00236,0.000158,36,1393,pedestrian
36,1398,lcv,car,veh_veh,agent_a_first,-2.2378,0.1001,0.3227,0.9505,2.6654,,0.0,0.0,36,1398,car
36,1401,lcv,motorcycle,veh_veh,agent_a_first,2.6548,0.2001,0.6017,0.1501,0.3047,0.85,7e-05,4e-06,36,1401,motorcycle
38,40,pedestrian,lcv,ped_veh,unresolved_conflict_zone,-0.0676,0.6003,0.3431,0.7004,0.2991,,0.00339,0.000227,38,40,lcv
38,1398,pedestrian,car,ped_veh,agent_b_first,0.8212,2.0511,1.648,0.0,4.2134,,0.0,0.0,38,1398,car
38,1401,pedestrian,motorcycle,ped_veh,agent_a_first,2.1965,0.05,1.6477,0.1501,0.2021,0.85,0.0,0.0,38,1401,motorcycle
40,41,lcv,pedestrian,ped_veh,agent_a_first,-1.1122,4.5025,11.7132,1.4508,12.784,1.55,0.0,0.0,40,41,pedestrian
40,45,lcv,pedestrian,ped_veh,agent_a_first,-1.7982,1.1506,1.9384,0.4002,1.2674,1.35,1e-05,0.0,40,45,pedestrian
40,48,lcv,pedestrian,ped_veh,agent_a_first,0.8969,2.6515,11.6551,0.7004,3.3581,,2e-05,1e-06,40,48,pedestrian
40,1393,lcv,pedestrian,ped_veh,unresolved_conflict_zone,-0.0244,0.0,0.4446,0.5003,4.7165,0.7,0.10506,0.007046,40,1393,pedestrian
40,1398,lcv,car,veh_veh,agent_a_first,3.8747,0.3002,5.2752,1.0006,5.9525,,0.0,0.0,40,1398,car
40,1401,lcv,motorcycle,veh_veh,agent_a_first,-5.0188,0.0,0.1729,0.0,0.1253,0.05,0.99814,0.062666,40,1401,motorcycle
41,68,pedestrian,motorcycle,ped_veh,agent_b_first,-3.8373,2.7515,18.0702,0.3502,14.2336,,0.0,0.0,41,68,motorcycle
41,78,pedestrian,lcv,ped_veh,agent_b_first,8.8191,3.0517,3.614,0.0,3.6042,,0.58385,0.039158,41,78,lcv
45,1401,pedestrian,motorcycle,ped_veh,agent_b_first,0.9,0.2001,1.707,0.1501,1.275,1.4,0.0,0.0,45,1401,motorcycle
48,68,pedestrian,motorcycle,ped_veh,agent_b_first,-0.4007,1.1506,14.9997,0.4502,1.5733,,0.0,0.0,48,68,motorcycle
48,1401,pedestrian,motorcycle,ped_veh,agent_b_first,-117.295,0.05,7.1387,0.1501,1.7275,,0.0,0.0,48,1401,motorcycle
59,1398,pedestrian,car,ped_veh,agent_a_first,-0.2762,0.8004,0.9169,0.1001,0.6301,0.5,0.09041,0.008771,59,1398,car
61,68,pedestrian,motorcycle,ped_veh,agent_b_first,11.9527,0.5003,1.755,0.6003,1.4705,,0.0,0.0,61,68,motorcycle
