,coef,pvalue,ci_lo,ci_hi
Agent A Priority — Marginal,-1.0500611289247714,0.009415053399796024,-1.8426665416284371,-0.25745571622110586
Agent A Priority — Stable,-0.9524701685393551,7.766217091079333e-05,-1.4248999308858008,-0.4800404061929094
Agent B Priority — Marginal,-1.367264235672419,0.00016468281512068293,-2.078495762540981,-0.6560327088038571
Agent B Priority — Stable,-1.380872312249573,2.8024666363443045e-08,-1.8682286204201772,-0.8935160040789687
Assertive Non-Yielding,-0.3007988765882014,0.07733432852289275,-0.634565883113507,0.03296812993710424
Chaotic Negotiation,-1.1078921796403447,5.089038677699356e-12,-1.4224520261265354,-0.793332333154154
Contested Non-Yielding,-0.3785212718808167,0.08135702321384873,-0.8041925843317077,0.04715004057007438
Contested Right-of-Way,-0.8511995873046115,0.007624712723896948,-1.4764481620455052,-0.22595101256371786
Gap-Driven Crossing,-0.22372167172988014,0.2292780389705965,-0.5884520630254546,0.14100871956569436
Gap-Forced Merge,-0.73193285732248,5.595825593713974e-05,-1.08797102314441,-0.37589469150055005
Group Var,,0.5456741967332808,-0.003119094443107028,0.005899525803707156
Insufficient Yield,-0.5984264579758211,0.0008262598026082798,-0.949188653729254,-0.24766426222238813
Intercept,2.8128441100881085,1.2362537839403578e-103,2.5578129229003235,3.0678752972758936
Late Pedestrian Surge,-0.423523527271787,0.19596585354262508,-1.0654469232166992,0.2183998686731251
Marginal Yield,-0.40104793065688005,0.08532617920264059,-0.8578922918796252,0.05579643056586514
PET,-1.7753209713024274,2.3718746257712654e-101,-1.938121188662185,-1.6125207539426698
Pedestrian Hesitation,-1.0352310285423918,0.000137253112054131,-1.5673527428747231,-0.5031093142100604
TTC,-0.8964562913907276,3.7347147986526796e-27,-1.059256508750485,-0.73365607403097
Unclear Advantage,-0.8171540765447013,2.1007405531204375e-10,-1.0692229437671132,-0.5650852093222893
Unknown,-1.5503803484904661,1.2587025950752334e-17,-1.9058899144061983,-1.194870782574734
