case,agent_a,agent_b,cls_a,cls_b,pair_type,model_outcome,model_pattern,NM,SDD,min_dist_m,dur_s
0,961,2510,cyclist,car,cyc_veh,agent_a_first,Agent A Priority — Stable,2.4658,0.3502,5.52,1.6
1,793,2404,cyclist,pedestrian,ped_veh,agent_a_first,Unclear Advantage,1.2364,0.5003,2.11,1.4
2,234,1431,cyclist,pedestrian,ped_veh,agent_a_first,Gap-Driven Crossing,-29.9855,1.2507,5.81,2.0
3,733,3443,lcv,pedestrian,ped_veh,agent_a_first,Chaotic Negotiation,0.9555,0.0,9.15,1.8
4,2146,3403,cyclist,pedestrian,ped_veh,agent_a_first,Chaotic Negotiation,3.4604,0.0,7.5,1.7
5,1160,1167,cyclist,lcv,cyc_veh,agent_b_first,Chaotic Negotiation,0.387,0.0,1.55,3.1
6,798,3475,pedestrian,cyclist,ped_veh,agent_b_first,Unclear Advantage,3.5801,2.7515,8.61,2.1
7,1942,2020,pedestrian,lcv,ped_veh,agent_a_first,Marginal Yield,122.1951,0.05,3.43,1.2
8,370,1608,lcv,pedestrian,ped_veh,agent_b_first,Chaotic Negotiation,-5.0682,0.1001,8.17,3.4
9,1085,2736,lcv,pedestrian,ped_veh,agent_a_first,Chaotic Negotiation,1.9881,0.1001,5.85,1.6
10,559,1942,cyclist,pedestrian,ped_veh,agent_a_first,Unclear Advantage,-0.3065,1.1006,2.47,1.4
11,241,1431,car,pedestrian,ped_veh,agent_a_first,Unclear Advantage,6.6772,0.7004,5.42,1.1
12,1167,2838,lcv,pedestrian,ped_veh,agent_a_first,Unclear Advantage,-0.168,0.6504,4.49,4.2
13,1047,2635,truck,car,veh_veh,agent_a_first,Unclear Advantage,1.4612,1.901,2.63,6.6
14,2611,3520,lcv,lcv,veh_veh,agent_b_first,Unclear Advantage,0.8913,0.1001,7.52,2.3
15,356,380,pedestrian,lcv,ped_veh,agent_b_first,Chaotic Negotiation,-0.0159,0.0,4.76,2.4
16,1352,2937,cyclist,pedestrian,ped_veh,agent_a_first,Unclear Advantage,2.6999,0.2501,5.35,1.4
17,365,1586,cyclist,pedestrian,ped_veh,agent_a_first,Unclear Advantage,-0.0718,1.0506,0.94,1.3
18,785,3460,cyclist,pedestrian,ped_veh,agent_b_first,Unclear Advantage,-0.3361,0.2001,2.1,1.4
19,3162,3531,pedestrian,lcv,ped_veh,agent_a_first,Chaotic Negotiation,-2.7182,0.1501,5.7,1.9
