case,agent_a,agent_b,cls_a,cls_b,pair_type,model_outcome,model_pattern,NM,SDD,min_dist_m,dur_s
0,1327,1337,pedestrian,cyclist,ped_veh,agent_b_first,Unclear Advantage,-4.0254,1.751,2.63,3.2
1,1348,1354,car,pedestrian,ped_veh,agent_a_first,Gap-Driven Crossing,-64.4071,0.9505,8.06,1.1
2,354,358,lcv,pedestrian,ped_veh,agent_a_first,Unclear Advantage,0.6292,2.2512,2.72,2.9
3,497,1945,lcv,pedestrian,ped_veh,unresolved_conflict_zone,Unknown,1.5107,1.3507,5.4,2.2
4,516,526,pedestrian,car,ped_veh,agent_a_first,Unclear Advantage,-0.7954,0.4002,4.27,1.7
5,616,2146,lcv,cyclist,cyc_veh,agent_a_first,Agent A Priority — Stable,1.0954,0.5003,4.35,4.5
6,1167,1170,lcv,pedestrian,ped_veh,agent_a_first,Unclear Advantage,0.467,1.3007,3.56,3.9
7,614,2146,pedestrian,cyclist,ped_veh,unresolved_conflict_zone,Unknown,1.9118,0.0,4.09,1.6
8,1345,2942,cyclist,pedestrian,ped_veh,agent_a_first,Unclear Advantage,-0.1149,1.851,0.66,1.8
9,2611,2616,lcv,pedestrian,ped_veh,agent_b_first,Contested Non-Yielding,-7.1864,0.2501,7.71,4.7
10,2075,2146,motorcycle,cyclist,cyc_veh,agent_a_first,Agent A Priority — Stable,2.6834,0.7004,8.54,1.1
11,1195,2896,pedestrian,cyclist,ped_veh,agent_b_first,Unclear Advantage,-1.2141,1.4508,2.44,2.5
12,733,2287,lcv,pedestrian,ped_veh,agent_a_first,Proactive Yielding,5.6734,0.7504,9.31,2.7
13,103,1400,cyclist,pedestrian,ped_veh,agent_b_first,Assertive Non-Yielding,-4.3361,0.4002,3.72,1.3
14,1047,1049,truck,pedestrian,ped_veh,agent_a_first,Unclear Advantage,1.254,0.5003,6.51,4.0
