case,agent_a,agent_b,cls_a,cls_b,pair_type,model_outcome,model_pattern,NM,SDD,min_dist_m,dur_s
0,148,161,truck,pedestrian,ped_veh,agent_b_first,Chaotic Negotiation,-1.4091,0.0,6.99,7.4
1,582,630,pedestrian,motorcycle,ped_veh,agent_b_first,Unclear Advantage,-2.0422,0.9505,1.75,1.2
2,509,1911,cyclist,pedestrian,ped_veh,agent_a_first,Unclear Advantage,2.1992,2.7515,6.19,2.3
3,945,2557,cyclist,pedestrian,ped_veh,agent_a_first,Proactive Yielding,3.5914,1.1506,2.73,1.9
4,559,1942,cyclist,pedestrian,ped_veh,agent_a_first,Unclear Advantage,2.3829,0.6003,2.65,1.4
5,969,2539,motorcycle,lcv,veh_veh,agent_a_first,Unclear Advantage,-1.4933,1.1006,4.87,1.4
6,127,150,bus,car,veh_veh,agent_b_first,Chaotic Negotiation,-2.2016,0.0,7.7,1.1
7,499,1757,cyclist,pedestrian,ped_veh,unresolved_conflict_zone,Unknown,-1.6105,0.0,3.73,1.8
8,870,920,pedestrian,lcv,ped_veh,agent_b_first,Contested Non-Yielding,-26.5762,0.1001,3.62,1.3
9,1161,1170,cyclist,pedestrian,ped_veh,agent_a_first,Proactive Yielding,2.7889,1.6009,8.7,3.4
10,1050,1060,pedestrian,lcv,ped_veh,agent_b_first,Unclear Advantage,-2.3191,2.4513,8.85,3.4
11,1142,1156,car,pedestrian,ped_veh,agent_b_first,Contested Non-Yielding,-4.0603,0.1501,8.34,2.1
12,1911,1949,pedestrian,cyclist,ped_veh,agent_b_first,Unclear Advantage,0.02,4.6025,4.35,1.9
13,2874,2927,car,pedestrian,ped_veh,agent_b_first,Unclear Advantage,-1.8944,1.6009,5.28,4.0
14,1323,1338,cyclist,cyclist,cyc_veh,agent_b_first,Unclear Advantage,-1.7623,1.1506,7.59,2.4
